location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Denmark,1991,0.24820407257283283,0.6441889864424661,Europe,0.7823303457106273,0.9059372413274136,0.48165137614678893,0.911764705882353,0.6898756502477399,5.0
Kazakhstan,1991,0.5975644122177444,0.8077673276138162,Europe,0.8973111395646606,0.753856573105576,0.6330275229357797,0.2696078431372549,0.6786885652236994,6.0
Republic of Moldova,1991,0.3861209229813839,0.6525399079200189,Europe,0.8140845070422534,0.7993076980961697,0.5527522935779816,0.28781512605042014,0.6106696316845368,7.0
Lithuania,1991,0.28935683736049633,0.6522467430597265,Europe,0.9418693982074262,0.6832718789976672,0.3922018348623853,0.3907563025210084,0.58928815586605,8.0
Australia,1991,0.7460788071233467,0.4384662744987706,Western Pacific,0.5364916773367476,0.8768906614493188,0.5015290519877675,0.28291316526610644,0.5810796420864576,9.0
Spain,1991,0.5698963894130408,0.6408795194037697,Europe,0.9999999999999998,0.281059522913688,0.7155963302752293,0.1904761904761905,0.5692098149438158,10.0
Estonia,1991,0.12066569151096307,0.6867816251910142,Europe,0.8440460947503199,0.5064338926932049,0.382262996941896,0.361344537815126,0.5076272267625395,11.0
Bulgaria,1991,0.08927215076346229,0.902462996292082,Europe,0.7290653008962866,0.47106629543231243,0.26605504587155965,0.4642857142857143,0.5025405358820847,12.0
Czechia,1991,0.19514583594627222,0.9119674161871514,Europe,0.6263764404609474,0.554518774926631,0.26146788990825687,0.3739495798319328,0.501704306313562,13.0
New Zealand,1991,0.6712585298627908,0.21239620379108892,Western Pacific,0.4248399487836107,0.6727368500263375,0.7400611620795107,0.24369747899159663,0.5007898265004291,14.0
Poland,1991,0.36307351019716705,0.8449550894313038,Europe,0.4978233034571061,0.42072390699074425,0.3042813455657492,0.3116246498599439,0.45723160977248556,15.0
Tajikistan,1991,0.664501442956482,0.7929968147789346,Europe,0.5953905249679897,0.4275716758221085,0.077217125382263,0.08613445378151259,0.4441652123756609,16.0
Bosnia and Herzegovina,1991,0.755540699944296,0.8608030645238642,Europe,0.34468629961587705,0.34178643991270974,0.12079510703363913,0.20098039215686275,0.4215945921908941,17.0
